EventCode,action,change_type,object_category
517,cleared,audit,audit
1100,stopped,audit,audit
1102,cleared,audit,audit
4720,created,user,user
4741,created,user,user
624,created,user,user
645,created,user,user
4722,modified,user,user
626,modified,user,user
4723,modified,user,user
627,modified,user,user
4724,modified,user,user
628,modified,user,user
4725,modified,user,user
629,modified,user,user
4726,deleted,user,user
4743,deleted,user,user
630,deleted,user,user
647,deleted,user,user
4738,modified,user,user
4742,modified,user,user
642,modified,user,user
646,modified,user,user
4740,modified,user,user
644,modified,user,user
625,modified,user,user
671,modified,user,user
4767,modified,user,user
